Provider Name,Graduates,Region,Province,Municipality,Municipality Code,lat,lon
"UNIVERSITY OF CEBU, INC.",26,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
"UNIVERSITY OF SOUTHERN PHILIPPINES FOUNDATION, INC.",94,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
"UNIVERSITY OF THE VISAYAS, INC.",54,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
BOGO LIVELIHOOD AND TECHNICAL SKILLS TRAINING AND COMPETENCY ASSESSMENT CENTER (BOGO LITES),47,Region VII - Central Visayas,Cebu,City of Bogo,PH0702211,11.02886,123.99838
BOGO LIVELIHOOD AND TECHNICAL SKILLS TRAINING CENTER,118,Region VII - Central Visayas,Cebu,City of Bogo,PH0702211,11.01029251,123.9889801
"ASIAN DIVINE LIGHT, COLLEGE INC.",38,Region VII - Central Visayas,Bohol,Tagbilaran City,PH0701242,9.65556,123.85219
"BOHOL TECH VOC, INC.",62,Region VII - Central Visayas,Bohol,Tagbilaran City,PH0701242,9.65879415,123.872419
KM100 SKILLS AND TRAINING CENTER INC.,1730,Region VII - Central Visayas,Cebu,City of Bogo,PH0702211,11.04885905,123.9914284
ST. LOUISE DE MARILLAC COLLEGE OF BOGO,40,Region VII - Central Visayas,Cebu,City of Bogo,PH0702211,11.00993395,123.9913031
STO. NINO SKILLS DEVELOPMENT AND ASSESSMENT CENTER INC.,1468,Region VII - Central Visayas,Cebu,City of Bogo,PH0702211,11.0263012,124.00451
CARCAR COMMUNITY SKILLS TRAINING & ASSESSMENT CENTER,63,Region VII - Central Visayas,Cebu,City of Carcar,PH0702214,10.1052758,123.63706
"PROFESSIONAL ACADEMY OF THE PHILIPPINES, INC.",24,Region VII - Central Visayas,Cebu,City of Naga,PH0702234,10.20444885,123.7551394
TECHNICAL TRAINING CENTER OF SOUTH CEBU INC.,869,Region VII - Central Visayas,Cebu,City of Naga,PH0702234,10.25,123.71667
"ABQ INTERNATIONAL HEALTH CAREGIVER PROGRAM & CONSULTANCY, INC.",129,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,10.019219,123.61932
BUGLAS INSTITUTE OF BUTCHERING AND SLAUGHTERING CORPORATION,74,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,10.25011065,123.8369851
P5 ASSESSMENT AND TRAINING CENTER INC.,25,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,10.2595518,123.82972
"SISTERS OF MARY TECHNICAL EDUCATION INSTITUTE CEBU, INC.",547,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,11.294122,123.727963
TALISAY CITY LIVELIHOOD TRAINING AND ASSESSMENT CENTER,436,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,11.2434,124.0619
TALISAY LIVELIHOOD TRAINING CENTER,106,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,10.2672666,123.83241
"TMJ TECHNOLOGY SKILLS TRAINING INSTITUTE AND ASSESSMENT CENTER, INC",1235,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,10.3,123.81667
UHA CAREGIVER TRAINING ZANI VIV CORPORATION,301,Region VII - Central Visayas,Cebu,City of Talisay,PH0702250,10.3,123.81667
"CAN-CARE TECHNICAL VOCATIONAL EDUCATION TRAINING ASSESSMENTAND REVIEW CENTER INSTITUTE, INC.",100,Region VII - Central Visayas,Bohol,Tagbilaran City,PH0701242,9.65556,123.85219
"ST. JAMES ACADEMY OF SKILLS TECHNOLOGY, INC.",622,Region VII - Central Visayas,Cebu,Compostela,PH0702218,10.4519685,124.0109687
CLEVERCARE TRAINING CENTER INC.,0,Region VII - Central Visayas,Cebu,Consolacion,PH0702219,10.37098085,123.9687133
CORTES TECHNOLOGICAL INSTITUTE INCORPORATED,28,Region VII - Central Visayas,Cebu,Consolacion,PH0702219,10.35601147,123.985434
