SOC,AIOE
43-9071.00,-0.6214765663896835
43-9081.00,1.1972237421034468
43-9111.00,1.2270180182376416
45-1011.00,-0.7370703658809756
45-2011.00,0.07113037664391465
45-2021.00,-1.1525280355196172
45-2041.00,-1.4815327931253113
45-2091.00,-1.25411250441255
45-2092.00,-2.2023735538992737
45-2093.00,-1.2171340525284933
45-3031.00,-1.4690113547007615
45-4011.00,-1.3179523685695116
45-4021.00,-1.9091787064245336
45-4022.00,-1.1116096362751187
45-4023.00,-0.5808459937364208
47-1011.00,-0.42870117067670643
47-1011.03,-0.47242694808653135
47-2011.00,-1.1106410258543362
47-2021.00,-1.8678057950587454
47-2022.00,-1.8133844364085598
47-2031.00,-1.2767608436154931
47-2041.00,-1.6766327445032683
47-2042.00,-1.4111528671886429
47-2043.00,-1.9773947230018831
47-2044.00,-1.4068865226532894
47-2051.00,-1.8910210951935655
47-2053.00,-1.889678043677114
47-2061.00,-1.79566897787256
47-2071.00,-1.40748106113288
47-2072.00,-1.3295451279344552
47-2073.00,-1.0388398948368434
47-2081.00,-1.7606829442572722
47-2082.00,-1.6527033301194773
47-2111.00,-0.9283227855044036
