2009 PSIC Code,Region Description,Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Section Letter,Job Sector
H492,Region IX (Zamboanga Peninsula),Transport via buses,47,3,47,3,0,0,H,Transportation and Storage
H493,Region IX (Zamboanga Peninsula),Other land transport,164,17,159,13,5,5,H,Transportation and Storage
H501,Region IX (Zamboanga Peninsula),Sea and coastal water transport,444,115,443,112,2,3,H,Transportation and Storage
H521,Region IX (Zamboanga Peninsula),Warehousing and storage,123,45,123,45,0,0,H,Transportation and Storage
H522,Region IX (Zamboanga Peninsula),Support activities for transportation,458,91,440,81,18,10,H,Transportation and Storage
,Region X (Northern Mindanao),,,,,,,,H,Transportation and Storage
H492,Region X (Northern Mindanao),Transport via buses,5162,319,5162,319,0,0,H,Transportation and Storage
H493,Region X (Northern Mindanao),Other land transport,596,129,581,115,15,15,H,Transportation and Storage
H501,Region X (Northern Mindanao),Sea and coastal water transport,,,,,,,H,Transportation and Storage
H521,Region X (Northern Mindanao),Warehousing and storage,94,44,94,42,0,2,H,Transportation and Storage
H522,Region X (Northern Mindanao),Support activities for transportation,1476,184,1473,180,3,4,H,Transportation and Storage
H532,Region X (Northern Mindanao),Courier activities,,,,,,,H,Transportation and Storage
,Region XI (Davao Region),,,,,,,,H,Transportation and Storage
H492,Region XI (Davao Region),Transport via buses,960,106,959,106,1,0,H,Transportation and Storage
H493,Region XI (Davao Region),Other land transport,3854,427,3619,420,235,7,H,Transportation and Storage
H501,Region XI (Davao Region),Sea and coastal water transport,116,28,116,28,0,0,H,Transportation and Storage
H511,Region XI (Davao Region),Passenger air transport,,,,,,,H,Transportation and Storage
H521,Region XI (Davao Region),Warehousing and storage,143,35,143,35,0,0,H,Transportation and Storage
H522,Region XI (Davao Region),Support activities for transportation,4015,514,4008,514,8,0,H,Transportation and Storage
H532,Region XI (Davao Region),Courier activities,,,,,,,H,Transportation and Storage
,Region XII (SOCCSKSARGEN),,,,,,,,H,Transportation and Storage
H492,Region XII (SOCCSKSARGEN),Transport via buses,743,93,743,93,0,0,H,Transportation and Storage
H493,Region XII (SOCCSKSARGEN),Other land transport,670,95,669,93,1,2,H,Transportation and Storage
H501,Region XII (SOCCSKSARGEN),Sea and coastal water transport,,,,,,,H,Transportation and Storage
H521,Region XII (SOCCSKSARGEN),Warehousing and storage,,,,,,,H,Transportation and Storage
H522,Region XII (SOCCSKSARGEN),Support activities for transportation,569,112,566,112,2,0,H,Transportation and Storage
H532,Region XII (SOCCSKSARGEN),Courier activities,,,,,,,H,Transportation and Storage
