Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Road Roller [Compactor] Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Rolling Stock Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Room Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
Rough And Finishing Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Rough Mason,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Route Planner,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Rural Development Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,,,,,,
Rural Health Field Researcher,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,,,,,,
Safety Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Safety Officer (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,,,,,,
Sailing Coach,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Sales Assistant (High School),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,,,,,,
Sales Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,Yes,N,,,,,,
Salt Contractor,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,N,,,,,,
Sandblasting Crew,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Sanitary Engineer,Manufacturing                                                ,Manufacture of medical and dental instruments and supplies,Higher Education,No,No,N,,,,,,
Sanitary Landfill Facility (SLF) Spotter,"Water Supply; Sewerage, Waste Management and Remediation     ",Waste treatment and disposal,Not Higher Education,No,No,N,,,,,,
Sanitation and Disinfection Officer (Healthcare),Medicine,Hospital activities,Higher Education,Yes,No,Y,4083,6456,3845,6600,63.24,58.26
Sanitation Inspector,Human Health and Social Work Activities,Human health activities,Higher Education,No,No,Y,,,,,,
SCADA Systems Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,,,,,,
Scaffolder,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Science Content Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Science Laboratory Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Science Subject Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Screed Operator (Heavy Equipment),Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Scriptwriter,"Arts, Entertainment and Recreation","Creative, Arts and Entertainment Activities",Higher Education,No,No,N,,,,,,
Sculptor Apprentice,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Sea Patrol (Bantay Dagat),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,,,,,,
Seafarers,Transportation and Storage,Sea and coastal water transport,Higher Education,No,No,N,,,,,,
Seamer Operator,Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,,,,,,
Seaweed Nursery Operator,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,,,,,,
Seaweed Processor,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,,,,,,
Security Analyst Associate,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Security Guard,Administrative and Support Service Activities,Private security activities,Not Higher Education,No,No,Y,,,,,,
Security Operations Center (SOC) Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,N,,,,,,
Security Operations Staff,Administrative and Support Service Activities,Private security activities,Higher Education,No,No,Y,,,,,,
Semiconductor Machine Technician,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,,,,,,
Semiconductor Operator ,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,,,,,,
Semiconductor Production Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,,,,,,
Seminary Support Staff,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,,,,,,
Senior Caregiver,Human Health and Social Work Activities,Residential care activities for the elderly and disabled,Not Higher Education,No,No,Y,,,,,,
Service Vehicle Drivers,Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Session Guitarist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Shipper and Receiver,Transportation and Storage,Postal activities,Higher Education,No,No,N,,,,,,
Shoe Cutter,Manufacturing                                                ,Manufacture of footwear,Not Higher Education,No,No,N,,,,,,
Sign Language Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,,,,,,
Site Accounting Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Y,,,,,,
Site Engineering Assistant (Licensed Civil Engineer),Civil Engineering,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,Yes,No,Y,6180,18582,6835,18436,33.26,37.07
Site HR Officers,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Site Monitoring Specialist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,,,,,,
Skid Loader Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Slitter,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,,,,,,
Social Enterprise Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Social Listening Research Assistant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,,,,,,
Social Media Content Creator,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,Y,,,,,,
Social Media Manager,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,,,,,,
Social Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Social Welfare Assistant (Healthcare),Social Work,Social work activities without accommodation for the elderly and disabled,Higher Education,Yes,No,Y,3878,6833,4587,7113,56.75,64.49
Social Work Associate,Social Work,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,3878,6833,4587,7113,56.75,64.49
Software Quality Assurance Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
Soil And Nutrient Technologist,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,,,,,,
Soil and Plant Lab Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Soil and Plant Scientists,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,,,,,,
Solar Night Light And Post Lamp Assembler,Manufacturing                                                ,Manufacture of electric lighting equipment,Not Higher Education,No,No,Y,,,,,,
Sonar Fishing Operator,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,,,,,,
Sonar Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Sound Technician,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,,,,,,
Specialized Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
SPED Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
SPED Teacher (Primary),Professional Teachers,Pre-primary education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
SPED Teacher (Secondary),Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Speech Therapy Aide,Medicine,Medical and dental practice activities,Higher Education,Yes,No,Y,4083,6456,3845,6600,63.24,58.26
Speed Limitation Device Installer,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Sports Coach,Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Sports Events Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,,,,,,
Sports Program Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,,,,,,
Spotters,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Stage Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Stamping Machine Operators,Mechanical Engineering,Construction of buildings,Higher Education,Yes,No,Y,2133,4237,1144,3485,50.34,32.83
Startup Operations Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Startup Program Intern,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,,,,,,
Statistical Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,,,,,,
Steelman,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Store Display Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale of cultural and recreation goods in specialized stores,Higher Education,No,Yes,N,,,,,,
Store Keeper,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,,,,,,
Store Supervisor Trainee,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,No,N,,,,,,
Storyboard Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Strategic Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Strategic Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Structural Design Technician,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Structural Steel Erector,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Sugarcane Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,,,,,,
Sugarcane Planter,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
Supply Chain Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Supply Chain Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Surf Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Surveillance Officer (CCTV Operation),Administrative and Support Service Activities,Security systems service activities,Higher Education,No,No,Y,,,,,,
Surveying Technician,Civil Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,6180,18582,6835,18436,33.26,37.07
Sustainability Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Swine Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Swine Raiser/Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
System Formworks Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Systems Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Tailor,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,N,,,,,,
Talent Acquisition and Development Officer (Healthcare),Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Talent Acquisition Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,,,,,,
Talent Attraction and Management Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,,,,,,
Talent Management Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Tappers,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Taro Processor,Manufacturing                                                ,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,,,,,,
Tax Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Taxi Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,,,,,,
Technical Communicator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,,,,,,
Technical Project Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
Technical Support Specialist,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Technology Operations Assistant,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,,,,,,
Telecommunications Engineer,Information and Communication,Wired telecommunications activities,Higher Education,No,No,N,,,,,,
Telediagnostic Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Telephone And Broadband Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,,,,,,
Television Producer Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
Tender Planning & Estimating Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Terminologist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Ticket Issuing / Travel Clerk (Transportation and Storage),Transportation and Storage,"Transport via railways, Transport via buses, Other land transport, Inland water transport",Higher Education,No,Yes,N,,,,,,
Ticketing and Reservations Agent,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,No,N,,,,,,
TIG Plate Welder (Carbon Steel),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Tikog Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
Tilapia Farm Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,,,,,,
Tile Setter,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Tinsmith (Automotive Manufacturing),Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No,N,,,,,,
Tinsmith (HVAC/R Worker),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Tinsmiths,Construction,Building completion and finishing,Not Higher Education,No,No,N,,,,,,
TLE (Agricultural Track) Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
TLE (Industrial Arts) Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
TLE (Industrial Technology) Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Tool Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,,,,,,
Toolkeepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Tour Operations Staff,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
Tourism Information Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,Yes,N,,,,,,
Tourist Information Officer (LGU),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,,,,,,
Tower Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Tower Light Tenders,Construction,Other specialized construction activities,Higher Education,No,No,Y,,,,,,
Trade & Diplomatic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Traditional Animator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Training Quality Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,,,,,,
Transit Mixer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Translation Associate,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,,,,,,
Translator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,,,,,,
Transmission Lineman,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Travel Agency Coordinator,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,,,,,,
Travel Content Creator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Travel Services Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Not Higher Education,No,No,N,,,,,,
Treasury Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Truck Mounted Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
TVET Instructor,Professional Teachers,Other Education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
U.S. Country Desk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
UI/UX Designer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
UI/UX Game Artist,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,,,,,,
Underwater Diving Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Urban Forestry Aide,Forestry,Silviculture and other forestry activities,Higher Education,Yes,No,N,1076,1947,928,1574,55.26,58.96
Urban Planning Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,,,,,,
Utility Personnel (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Values Education Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Vector Control Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Vehicle Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Higher Education,No,No,N,,,,,,
Veterinary Lab Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,,,,,,
Video Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,,,,,,
Video Post-Production Editor,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,,,,,,
Video Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,,,,,,
Virtual Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Visual Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Visual Effects Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Visual Graphic Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Visual Storyteller,Information and Communication,Other information service activities,Higher Education,No,No,N,,,,,,
Vocal Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Voice and Speech Therapist,Occupational Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,323,554,353,536,58.3,65.86
Voice Talent,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Voice-over Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Wafer Fabrication Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,Y,,,,,,
Ward Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Ward Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Warehouse Aide (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,,,,,,
Warehouse Forklift Operator,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,,,,,,
Warehouse Personnel,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Warehouseman (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,,,,,,
Waste Handler (Manufacturing),Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,N,,,,,,
Waste Management Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Waste Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Wastewater Treatment Specialist             ,Sanitary Engineering,Waste treatment and disposal,Higher Education,Yes,No,N,76,162,105,156,46.91,67.31
Water Quality Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ","Water collection, treatment and supply",Higher Education,No,No,N,,,,,,
Water Quality Engineer                      ,Sanitary Engineering,"Water collection, treatment and supply",Higher Education,Yes,No,N,76,162,105,156,46.91,67.31
Water Well Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Waterside Worker,Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,N,,,,,,
Web Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Web Designer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Web Developer (Python),Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Web Developer Intern,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Wellness Coach,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Wellness Program Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Wheelchair Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Wheel-Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Wildlife Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Wind Turbine Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Window Cleaner,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,N,,,,,,
Wood Carver,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,N,,,,,,
Workforce Management Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,,,,,,
Workforce Wellness Coordinator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Worship Musician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
