Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Bell Boy / Luggage Porter,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5021,-0.968146275461266,0.5847222222222223,-0.7392872531230612,Isolated
Bench Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Bibliographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-9011,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,43-3011,1.2514394559345414,0.4402777777777777,1.1363765504027823,Displaced
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,27-1013 ,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Biology Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
Blacksmith,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,51-4199 ,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Boat Fitter,Manufacturing,Building of ships and boats,Not Higher Education,No,No,N,N,,,,,49-9081,-1.049182638556866,0.7641666666666665,-0.6128975246903028,Protected
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,Tourism,Tourism,,,,,53-5022,-0.8102712472248825,0.7050000000000001,-0.5212745023813411,Protected
Body Repair Personnel,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
