Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,53-5031,-0.5348275306846189,0.7002777777777777,-0.3465979525242267,Protected
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,Y,Financial Services,,,,,43-4171 ,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,51-4122 ,-0.9644465077543026,0.5352777777777777,-0.78414859116579,Isolated
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,51-4122 ,-0.9644465077543026,0.5352777777777777,-0.78414859116579,Isolated
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,39-9021,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,Y,Health,,,,,39-9021,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,39-9011,-0.5276871682377668,0.6126388888888888,-0.388216518077146,Protected
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-1013,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health,,,,,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N,,,,,41-2012,-0.0637669727961953,0.5011111111111111,-0.0540247963967765,Isolated
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-9011,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Cataloguing Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,13-1023,1.4742814213283415,0.5972222222222223,1.107349156464399,Augmented
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Certified Public Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Certified Public Accountant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,21-2021 ,1.2114588767178207,0.6294444444444444,0.8709043258182557,Augmented
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Chemical Analyst (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,17-2041,1.362684084864043,0.6530555555555556,0.9474439623374163,Augmented
Chemical Informatics Assistant,Manufacturing,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,651.0,927.0,688.0,951.0,51-8091,-0.3951131271969292,0.6322222222222222,-0.2829449005315788,Protected
Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Chemical Process Operator,Manufacturing,Manufacture of basic chemicals,Not Higher Education,No,No,N,N,,,,,51-8091,-0.3951131271969292,0.6322222222222222,-0.2829449005315788,Protected
Chemical Production Technician,Manufacturing,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,651.0,927.0,688.0,951.0,51-8091,-0.3951131271969292,0.6322222222222222,-0.2829449005315788,Protected
Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,37-3012.00,-0.5409268890934459,0.6108888888888889,-0.3989035292125778,Protected
Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,39-9011,-0.5276871682377668,0.6126388888888888,-0.388216518077146,Protected
Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,N,N,,,,,39-9011,-0.5276871682377668,0.6126388888888888,-0.388216518077146,Protected
China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,51-3011,-0.3972381613714977,0.5247222222222222,-0.3271697634629141,Isolated
Church Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,21-2099,0.7806366196871929,0.6655492424242423,0.5330062647034659,Augmented
Circuit Design Engineer,Manufacturing,Manufacture of electronic components,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,17-2072 ,0.6853776260103156,0.5906944444444444,0.51926874303976,Displaced
Civics Curriculum Developer,Education,Educational support services,Higher Education,No,No,N,N,,,,,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
Civil Defense Program Staff,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,33-2011,-1.2762872583675486,0.7555555555555555,-0.7565547248212081,Protected
Civil Service Officer,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Classical Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-2042,-0.0481137107809598,0.5141666666666667,-0.0401348537431173,Isolated
Clean-Up Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,39-5094,-0.1802445932619149,0.6108333333333333,-0.1329303875306622,Protected
Clergy Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N,,,,,21-2099,0.7806366196871929,0.6655492424242423,0.5330062647034659,Augmented
Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,43-9199 ,1.0117367283079466,0.5203728070175438,0.8376780740628624,Displaced
Climate and Weather Monitoring Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,19-4099,0.0882226573666494,0.5626388888888889,0.0693160517671021,Displaced
Climate Science Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,19-2041 ,1.121407837793284,0.6320138888888889,0.8032862393637309,Augmented
Clinical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Clinical Chemistry Analyst,Manufacturing,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Clinical Research Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Clothing Line Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,N,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
CNC EDM Wire Cut Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,51-4199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
CNC Lathe Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,51-7042,-1.1384208402675908,0.5302777777777778,-0.9312914929411265,Isolated
CNC Machinist,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,51-4199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
CNC Milling Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,51-4199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Coastal Resource Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,N,,,,,19-2041 ,1.121407837793284,0.6320138888888889,0.8032862393637309,Augmented
Coconut Farmer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,45-2099,-1.153152853548008,0.5406076388888889,-0.9314311894326576,Isolated
Cocoon Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,45-2021,-1.0528327163871605,0.5588888888888889,-0.8311529388811973,Isolated
Coffee Farmer Nursery Operator,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Cold Storage Technician,Manufacturing,Installation of industrial machinery and equipment,Higher Education,No,No,N,N,,,,,51-9193,-0.9694564085988252,0.5850000000000001,-0.7400183918971032,Isolated
Commercial Air-Conditioning Unit Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,49-9021 ,-0.9106473891239084,0.686111111111111,-0.6030509376864995,Protected
Commercial Refrigeration Equipment Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,49-9021 ,-0.9106473891239084,0.686111111111111,-0.6030509376864995,Protected
Commis Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-1012,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
Commis Helper,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,35-9099 ,-0.6267809371496645,0.5396732026143791,-0.5068527545675964,Isolated
Communications and Advocacy Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Communications Consultant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Communications Designer,"Professional, Scientific and Technical Activities",Specialized design activities,Higher Education,No,No,N,N,,,,,15-1134 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Community Birth Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,2800.0,4119.0,3997.0,5398.0,39-9011,-0.5276871682377668,0.6126388888888888,-0.388216518077146,Protected
Community Development Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Community Governance Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,N,N,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Community Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,21-1094 ,0.0229134919313405,0.6677777777777778,0.0155939042310511,Augmented
Community Infectious Disease Management Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,29-1229,0.2059317681316812,0.7743981481481482,0.118191487478169,Augmented
Community Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,Digital Technology,,,,,39-3099 ,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
