,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N)_x,Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,AIOE,Complementarity,C-AIOE,Classification
312,Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
313,Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism,,,,,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
314,Dressmaker,Manufacturing,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N,,,,,-0.5547315587881533,0.5277777777777778,-0.4551880624056124,Isolated
315,Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Y,Tourism,,,,,-1.1172817235594896,0.5613888888888888,-0.879238645234454,Isolated
316,Drying And Milling Plant Service Technician,Manufacturing,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,N,N,,,,,-0.7654642333588086,0.5313888888888889,-0.6253417528634045,Isolated
317,Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,1.333804583640498,0.6875,0.8814225290224291,Augmented
318,Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,1.5056696701614034,0.6302777777777777,1.0811544714908967,Augmented
319,E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Financial Services,,,,,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
320,E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,Y,Financial Services,,,,,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
321,Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,Digital Technology,,,,,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
322,Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
323,Economics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
324,Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,N,N,,,,,0.4571220527837438,0.6594444444444444,0.3149063030288013,Augmented
