,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|ATLASSIAN GURU/SCRUM MASTER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,ATLASSIAN GURU/SCRUM MASTER,WEB DEVELOPMENT NC III,WITH TR,,6,1,0,7,7,4,0,0,,1,2,0,3,3,3,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|AUTOMATION|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,AUTOMATION,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERACY|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,COMPUTER LITERACY,COMPUTER SYSTEMS SERVICING NC II,WITH TR,,1,0,0,1,1,7,0,0,,4,0,0,4,4,8,0,0
"REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION|COMPUTER SYSTEMS SERVICING NC II|WITH TR",REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION",COMPUTER SYSTEMS SERVICING NC II,WITH TR,,2,0,0,2,2,0,0,0,,2,1,0,3,3,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CREATIVE/ ART DIRECTOR|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CREATIVE/ ART DIRECTOR,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CRYPTO (BLOCK CHAIN)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CRYPTO (BLOCK CHAIN),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY|CYBER RISK ASSESSMENT LEVEL III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,CYBER RISK ASSESSMENT LEVEL III,WITH TR,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|DATA ANALYSIS|DATA ANALYTICS LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,DATA ANALYSIS,DATA ANALYTICS LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|DATA SCIENCE|DATA ANALYTICS LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,DATA SCIENCE,DATA ANALYTICS LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|FULL-STACK DEVELOPER|DIPLOMA PROGRAM IN WEB APPLICATION DEVELOPMENT TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,FULL-STACK DEVELOPER,DIPLOMA PROGRAM IN WEB APPLICATION DEVELOPMENT TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|HARDWARE DEPLOYMENT|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,HARDWARE DEPLOYMENT,COMPUTER SYSTEMS SERVICING NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IOT TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IOT TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SKILLED INDIVIDUAL|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IT SKILLED INDIVIDUAL,COMPUTER SYSTEMS SERVICING NC II,WITH TR,,6,0,0,6,6,0,0,0,,2,1,0,3,3,0,0,0
"REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SUPPORT SPECIALIST, COMPUTER TECHNICIAN, PROGRAMMER, NETWORK SYSTEM TECHNICIAN, HELP DESK SUPPORT, DESKTOP SUPPORT SPECIALIST|DIPLOMA PROGRAM IN COMPUTER ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"IT SUPPORT SPECIALIST, COMPUTER TECHNICIAN, PROGRAMMER, NETWORK SYSTEM TECHNICIAN, HELP DESK SUPPORT, DESKTOP SUPPORT SPECIALIST",DIPLOMA PROGRAM IN COMPUTER ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|JAVA PROGRAMMER|PROGRAMMING (JAVA) NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,JAVA PROGRAMMER,PROGRAMMING (JAVA) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|LAYOUT ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,LAYOUT ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|MULTIMEDIA ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,MULTIMEDIA ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|NETWORK ENGINEER AND FIBER OPTIC SPECIALIST|TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,NETWORK ENGINEER AND FIBER OPTIC SPECIALIST,TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II,WITH TR,,1,0,0,1,1,0,0,0,,1,1,0,2,2,2,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PHYTON PROGRAMMING|PROGRAMMING (.NET TECHNOLOGY) NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PHYTON PROGRAMMING,PROGRAMMING (.NET TECHNOLOGY) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PROJECT MANAGERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PROJECT MANAGERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR DRUPAL DEVELOPER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR DRUPAL DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,,2,1,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR SWIFT DEVELOPER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR SWIFT DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,,7,1,0,8,8,4,0,0,,2,2,0,4,4,3,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SERVER ADMINISTRATION|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SERVER ADMINISTRATION,COMPUTER SYSTEMS SERVICING NC II,WITH TR,,0,0,0,0,0,6,0,0,,2,0,0,2,2,8,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOCIAL MEDIA PROFICIENCY|CONTENT CREATION (SOCIAL MEDIA) LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOCIAL MEDIA PROFICIENCY,CONTENT CREATION (SOCIAL MEDIA) LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOFTWARE DEVELOPMENT WITH AI|CYBER THREAT MONITORING LEVEL I|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOFTWARE DEVELOPMENT WITH AI,CYBER THREAT MONITORING LEVEL I,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOFTWARE QA|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOFTWARE QA,WEB DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SPEED TYPING|DATA ENCODING AND MANAGEMENT LEVEL II|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SPEED TYPING,DATA ENCODING AND MANAGEMENT LEVEL II,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|STRUCTURED CABLING|COMPUTER SYSTEMS SERVICING NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,STRUCTURED CABLING,COMPUTER SYSTEMS SERVICING NC II,WITH TR,,7,1,0,8,8,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|TECHNICAL SUPPORT GROUP|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,TECHNICAL SUPPORT GROUP,CUSTOMER SERVICES NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|TECHNICAL TEAM|CUSTOMER SERVICES NC II|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,TECHNICAL TEAM,CUSTOMER SERVICES NC II,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VIRTUAL ASSISTANCE|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VIRTUAL ASSISTANCE,DIGITAL MARKETING LEVEL III,WITH CS,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VIRTUAL REALITY|VIRTUAL ASSISTANT SERVICES LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VIRTUAL REALITY,VIRTUAL ASSISTANT SERVICES LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VISUAL GRAPHIC/ ARTIST/ DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VISUAL GRAPHIC/ ARTIST/ DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEB DEVELOPER AND DESIGNER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEB DEVELOPER AND DESIGNER,WEB DEVELOPMENT NC III,WITH TR,,2,1,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEBSITE CREATION|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEBSITE CREATION,WEB DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,GRAPHIC DESIGNERS,VISUAL GRAPHIC DESIGN NC III,WITH TR,,6,1,0,7,7,2,0,0,,1,2,0,3,3,2,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|MASTER OF PHOTOSHOP|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,MASTER OF PHOTOSHOP,VISUAL GRAPHIC DESIGN NC III,WITH TR,,1,0,0,1,1,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION NC III,WITH TR,,7,1,0,8,8,3,0,0,,2,2,0,4,4,2,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VISUAL GRAPHIC DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VISUAL GRAPHIC DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,,6,1,0,7,7,3,0,0,,1,2,0,3,3,1,0,0
REGION_VII|MANUFACTURING|AUTOMOTIVE AND LAND TRANSPORTATION PRODUCTION (OEM) ASSEMBLY|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR,REGION_VII,MANUFACTURING,AUTOMOTIVE AND LAND TRANSPORTATION PRODUCTION (OEM) ASSEMBLY,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|CONSTRUCTION|MASON|MASONRY NC I|WITH TR,REGION_VII,MANUFACTURING,CONSTRUCTION,MASON,MASONRY NC I,WITH TR,,0,0,0,0,0,7,0,0,,0,0,0,0,0,9,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|CALIBRATION TECHNICIAN|INSTRUMENTATION AND CONTROL SERVICING NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,CALIBRATION TECHNICIAN,INSTRUMENTATION AND CONTROL SERVICING NC II,WITH TR,,1,0,0,1,1,7,0,0,,1,0,0,1,1,9,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|DATABASE ADMINISTRATOR|PROGRAMMING (ORACLE DATABASE) NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,DATABASE ADMINISTRATOR,PROGRAMMING (ORACLE DATABASE) NC III,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|ELECTRICAL LEADMAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,ELECTRICAL LEADMAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INDUSTRIAL ELECTRONIC TECHNICIAN|DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INDUSTRIAL ELECTRONIC TECHNICIAN,DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INSTRUMENT TECHNICIAN 2|INSTRUMENTATION AND CONTROL SERVICING NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INSTRUMENT TECHNICIAN 2,INSTRUMENTATION AND CONTROL SERVICING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INSTRUMENT TECHNICIAN 3|INSTRUMENTATION AND CONTROL SERVICING NC IV|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INSTRUMENT TECHNICIAN 3,INSTRUMENTATION AND CONTROL SERVICING NC IV,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INTEGRATION SPECIALIST|PROGRAMMING (.NET TECHNOLOGY) NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INTEGRATION SPECIALIST,PROGRAMMING (.NET TECHNOLOGY) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MAINTENANCE ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MAINTENANCE ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,0,0,0,0,0,8,0,0,,0,0,0,0,0,9,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MANUFACTURING SYSTEMS DEVELOPER|PROGRAMMING (JAVA) NC III|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MANUFACTURING SYSTEMS DEVELOPER,PROGRAMMING (JAVA) NC III,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,WITH TR,,0,0,0,0,0,5,0,0,,0,0,0,0,0,3,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|PCB DESIGN TECHNICIAN|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,PCB DESIGN TECHNICIAN,ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,,1,0,0,1,1,8,0,0,,1,0,0,1,1,9,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN|DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN,DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|SOLDERING, MICROSCOPE OPERATION|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR",REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,"SOLDERING, MICROSCOPE OPERATION",ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,,0,0,0,0,0,10,0,0,,0,0,0,0,0,9,0,0
REGION_VII|MANUFACTURING|ELECTRICAL AND ELECTRONICS|SUPERVISING TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|WITH TR,REGION_VII,MANUFACTURING,ELECTRICAL AND ELECTRONICS,SUPERVISING TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|FURNITURE AND FIXTURES|CARPENTER|CARPENTRY NC II|WITH TR,REGION_VII,MANUFACTURING,FURNITURE AND FIXTURES,CARPENTER,CARPENTRY NC II,WITH TR,,0,0,0,0,0,8,0,0,,1,0,0,1,1,9,0,0
REGION_VII|MANUFACTURING|GAME DEVELOPMENT SERVICES|GAME PROGRAMMER|GAME PROGRAMMING NC III|WITH TR,REGION_VII,MANUFACTURING,GAME DEVELOPMENT SERVICES,GAME PROGRAMMER,GAME PROGRAMMING NC III,WITH TR,,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|GARMENTS|GARMENT SEWER|DRESSMAKING NC II|WITH TR,REGION_VII,MANUFACTURING,GARMENTS,GARMENT SEWER,DRESSMAKING NC II,WITH TR,,1,0,0,1,1,8,0,1,,1,0,0,1,1,9,0,0
REGION_VII|MANUFACTURING|GARMENTS|INDUSTRIAL SEWING MACHINE OPERATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,MANUFACTURING,GARMENTS,INDUSTRIAL SEWING MACHINE OPERATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|MANUFACTURING|GARMENTS|TAILOR|TAILORING NC II|WITH TR,REGION_VII,MANUFACTURING,GARMENTS,TAILOR,TAILORING NC II,WITH TR,,0,0,0,0,0,1,0,0,,1,0,0,1,1,1,0,1
