Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,SOC,AIOE,Complementarity
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,27-4099 ,0.6558359528610636,0.5456893004115226
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,27-3043,0.697709572118294,0.4580555555555555
Building Design Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,17-1011,0.9883662038987108,0.6747222222222223
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,47-2231,-1.085191831210996,0.7455555555555556
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,47-5022,-1.2533360568016358,0.6227777777777778
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,13-1151 ,1.125301054038325,0.6319444444444445
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,13-1111,1.3006800926946551,0.6147222222222223
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,27-3041 ,1.0358423916827189,0.6130555555555556
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Butcher,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,51-3091 ,-0.8649918010858667,0.4733333333333334
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,39-9099 ,-0.620764093503558,0.6422222222222221
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,45-2021,-1.1525280355196172,0.5588888888888889
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,49-9052,-1.1924358138797408,0.6463888888888889
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,45-2091,-1.25411250441255,0.49638888888888894
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,15-1299,1.388784111523391,0.6486111111111111
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,53-5031,-0.6279944457278928,0.7002777777777777
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,43-4171 ,0.9380611170416764,0.47138888888888886
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,51-4122 ,-1.063027898104206,0.5352777777777777
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,51-4122 ,-1.063027898104206,0.5352777777777777
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,39-9021,-0.620764093503558,0.6422222222222221
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,39-9021,-0.620764093503558,0.6422222222222221
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,39-9011,-0.620764093503558,0.6199999999999999
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-1013,-0.673807460441017,0.4575
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,21-1093,0.7040484605627692,0.6691666666666666
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,41-2012,-0.1509971255111137,0.5011111111111111
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,25-9011,0.7243196041937822,0.695328282828283
Cataloguing Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,13-1023,1.4064352471964678,0.5972222222222223
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,27-4099 ,0.6558359528610636,0.5456893004115226
Certified Public Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Certified Public Accountant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,21-2021 ,1.140300357801912,0.6294444444444444
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Chemical Analyst (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,17-2041,1.2934314527896151,0.6530555555555556
Chemical Informatics Assistant,Manufacturing,Manufacture of basic chemicals,Higher Education,Yes,No,51-8091,-0.4865192257305966,0.6322222222222222
