,SOC,AIOE
29016,25-1063,1.2981788228429494
29120,25-1064,1.2979975590536172
29224,25-1065,1.3471950294957509
29328,25-1066,1.3126652858101149
29432,25-1067,1.3281325801004207
29536,25-1071,0.9059220685250581
29640,25-1072,0.5003560544209328
29744,25-1081,1.1727167263791323
29848,25-1082,1.3650191339991913
29952,25-1111,1.3687036463442248
30056,25-1112,1.3353192906399494
30160,25-1113,1.3268555900103765
30264,25-1121,0.7402827158108991
30368,25-1122,1.3263669891510752
30472,25-1123,1.396363305375174
30576,25-1124,1.313118096777725
30680,25-1125,1.415922219279227
30784,25-1126,1.3423569978529868
30888,25-1192,1.1913316176894613
30992,25-1193,1.1447780899991267
31096,25-1194,0.14736418312444974
31200,25-2011,0.016438587890587535
31304,25-2012,0.3484516434659395
31408,25-2021,0.8882099185257761
31512,25-2022,1.2731661055605612
31616,25-2023,0.5032048579053594
31720,25-2031,1.1884950168906403
31824,25-2032,0.381604950374696
31928,25-2051,0.3590250794239462
32032,25-2056,0.7395212140964027
32136,25-2057,1.2346589806301538
32240,25-2058,1.0736477189446423
32344,25-2059,-0.6104688928723081
32448,25-3011,1.3279338938830878
32552,25-3021,0.5095961456095874
32656,25-3031,1.0511663379198941
32760,25-3041,1.383793526181655
32864,25-4011,0.6857295416240279
32968,25-4012,0.7188278381031682
33072,25-4013,-0.10470893680696833
33176,25-4022,0.716467698640757
33280,25-4031,0.02378413215008815
33384,25-9021,0.8006554663832743
33488,25-9031,1.333804583640498
33592,25-9042,0.17769372634332609
33696,25-9043,0.4986883713232838
33800,25-9044,1.091562431742263
33904,27-1011,0.9773605573447168
