Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
PSAA INTERNATIONAL ACADEMY INC.,"Pandacan, City of Manila",City of Manila,National Capital Region (NCR),NCR,Barista NC II,FALSE,0,1,0,0,0,1,103,103
"ROGATIONIST COLLEGE (ST. ANTHONY'S BOYS VILLAGE), INC.",Silang,Cavite,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,103,103
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Automotive Servicing (Engine Repair) NC II,FALSE,0,1,0,0,0,1,103,103
"LYCEUM OF THE PHILIPPINES-LAGUNA, INC.",City of Calamba,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,103,103
GRABSUM SCHOOL INC.,Candelaria,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,109,103
QUEZON CITY LINGKOD BAYAN SKILLS DEVELOPMENT CENTER,Quezon City,Quezon City,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,98,103
JAR TRAINING AND ASSESSMENT CENTER INC.,Bauan,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,0,1,0,0,0,1,102,102
DMPC SKILLED WORKS TRAINING AND ASSESSMENT CENTER INC.,Angono,Rizal,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,0,1,0,0,0,1,102,102
"PULXAR TVI, INC.",Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,111,101
EJ TRAINING AND ASSESSMENT CENTER,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Health Care Services NC II,FALSE,0,1,0,0,0,1,102,101
PHILIPPINE WELDING TECHNOLOGY SKILLS & SERVICES CENTER INC.,Navotas City,CAMANAVA,National Capital Region (NCR),NCR,Flux-Cored Arc Welding (FCAW) NC II,TRUE,0,1,0,0,0,1,101,101
"HIGH PERFORMANCE INTERNATIONAL TRAINING CENTER AND TRADE TEST,INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,0,1,0,0,0,1,101,101
"JMAC TRAINING AND ASSESSMENT CENTER, INC.",Imus,Cavite,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,0,1,0,0,0,1,100,100
"BROTHERS OF CHRIST OF BANNEUX, INC.",General Trias,Cavite,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,100,100
BONDOC PENINSULA TECHNOLOGICAL INSTITUTE,San Narciso,Quezon,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,103,100
"COLEGIO DE SAN CLEMENTE, INC.",Angono,Rizal,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,95,100
SKYBORN TRAINING AND ASSESSMENT CENTER INC.,"Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,100,100
VRRG MANPOWER TRAINING CENTER INC.,Batangas City,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,0,1,0,0,0,1,99,99
"AGRISKWELA INSTITUTE OF THE PHILIPPINES, INC.",Maragondon,Cavite,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,0,1,0,0,0,1,99,99
"ISHRM SCHOOL SYSTEM, INC. - BACOOR",Bacoor City,Cavite,Region IVA - CALABARZON,4A,Front Office Services NC II,FALSE,0,1,0,0,0,1,100,99
D.M. CONSUNJI TECHNICAL TRAINING CENTER INC.,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Heavy Equipment Operation (Hydraulic Excavator) NC II,TRUE,0,1,0,0,0,1,101,99
MOVERS INTERNATIONAL SCHOOL INC.,Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,99,99
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,110,99
"DE LA SALLE-LIPA, INC.",Lipa City,Batangas,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,98,98
"UNIVERSITY OF BATANGAS, INC.",Batangas City,Batangas,Region IVA - CALABARZON,4A,Housekeeping NC II,FALSE,0,1,0,0,0,1,98,98
"METRO MANILA COLLEGE, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,0,1,0,0,0,1,98,98
"DON BOSCO TECHNICAL INSTITUTE OF MAKATI, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,RAC Servicing (DomRAC) NC II,FALSE,1,1,1,26,0,1,97,97
EASTGATE MARITIME TRAINING CENTER INC.,City of Dasmariñas,Cavite,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,98,97
INNOVATECH SKILLS AND RESOURCE INSTITUTE INC.,City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,91,97
RCTI TRAINING AND ASSESSMENT CORP.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,97,97
"EMPEROR INTERNATIONAL TRAINING AND ASSESSMENT CENTER, INC.",Taytay,Rizal,Region IVA - CALABARZON,4A,Massage Therapy NC II,FALSE,0,1,0,0,0,1,96,96
PROVINCIAL TRAINING CENTER LIPA,Lipa City,Batangas,Region IVA - CALABARZON,4A,PV Systems Installation NC II,FALSE,0,1,0,0,0,1,99,96
"CENTER FOR COMPETENCIES ENHANCEMENT AND DEVELOPMENT, INCORPORATED",City of Calamba,Laguna,Region IVA - CALABARZON,4A,Health Care Services NC II,FALSE,0,1,0,0,0,1,96,96
FILJAP WELDING INSTITUTE AND TRADETEST CENTER INC.,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Gas Tungsten Arc Welding (GTAW) NC II,TRUE,0,1,0,0,0,1,97,96
ARAYA SKILLS DEVELOPMENT INSTITUTE CORP.,San Juan City,PAMAMARISAN,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,0,1,0,0,0,1,96,96
"GLOBAL OVERSEAS TRAINING INSTITUTE FOR HEAVY EQUIPMENT OPERATORS & SKILLS DEVELOPMENT (GOTIHED), INC",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Heavy Equipment Operation (Rigid On-Highway Dump Truck) NC II,TRUE,0,1,0,0,0,1,97,96
FIRST GEAR TECHNICAL INSTITUTE AND ASSESSMENT CENTER INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Driving NC II,FALSE,0,1,0,0,0,1,96,96
LAGUNA COLLEGE OF ARTS AND TECHNOLOGY INC.,Victoria,Laguna,Region IVA - CALABARZON,4A,Front Office Services NC II,FALSE,0,1,0,0,0,1,97,95
SKILLFUL TRAINING AND ASSESSMENT CENTER INC.,Lemery,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC III,TRUE,0,1,0,0,0,1,96,95
TESDA WOMEN'S CENTER,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,0,1,0,0,0,1,97,95
"ST. MICHAEL ARCANGEL TECHNOLOGICAL INSTITUTE, INC.",Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,99,94
ABEST RESOURCE DEVELOPMENT INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Health Care Services NC II,FALSE,0,1,0,0,0,1,95,94
"ST. PETER VELLE TECHNICAL TRAINING CENTER, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Bartending NC II,FALSE,0,1,0,0,0,1,94,94
SERVITECH INSTITUTE ASIA INC.,San Pedro,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,94,94
SUMULONG COLLEGE OF ARTS & SCIENCES (SCAS) INCORPORATED,City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,94,94
PHILIPPINE ACADEMY FOR TECHNICAL AND VOCATIONAL SKILLS INC.,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,0,1,0,0,0,1,107,94
SNF AGRIBUSINESS TRAINING AND ASSESSMENT CENTER INC.,Santa Maria,Laguna,Region IVA - CALABARZON,4A,Animal Production (Swine) NC II,FALSE,0,1,0,0,0,1,57,93
JOBLINK INSTITUTE OF TECHNOLOGY INCORPORATED,Padre Burgos,Quezon,Region IVA - CALABARZON,4A,Driving NC II,FALSE,0,1,0,0,0,1,97,93
MILESTONE TECHNICAL INSTITUTE INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Visual Graphic Design NC III,FALSE,0,1,0,0,0,1,93,93
"LYCEUM OF ALABANG, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electronic Products Assembly and Servicing NC II,FALSE,0,1,0,0,0,1,103,93
MUNTIPARLASTAPAT DISTRICT TRAINING AND ASSESSMENT CENTER,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,0,1,0,0,0,1,107,92
"SISTERS OF MARY TECHNICAL EDUCATION INSTITUTE CAVITE, INC. - BOYSTOWN",Silang,Cavite,Region IVA - CALABARZON,4A,Automotive Servicing NC I,FALSE,0,1,0,0,0,1,92,92
"SISTERS OF MARY TECHNICAL EDUCATION INSTITUTE CAVITE, INC. - GIRLSTOWN",Silang,Cavite,Region IVA - CALABARZON,4A,Electronic Products Assembly and Servicing NC II,FALSE,0,1,0,0,0,1,78,92
TESDA PROVINCIAL TRAINING CENTER - ROSARIO,Rosario,Cavite,Region IVA - CALABARZON,4A,Automotive Servicing NC II,FALSE,0,1,0,0,0,1,92,92
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,93,92
"LAGUNA INSTITUTE OF TECHNOLOGY - BIÑAN, LAGUNA INC.",City of Biñan,Laguna,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,92,92
"BANAHAW TECHNOLOGICAL COLLEGE, INC.",Lucban,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,95,92
COLEGIO DE SANTO CRISTO DE BURGOS CORPORATION,Sariaya,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,93,92
NAVOTAS VOCATIONAL TRAINING AND ASSESSMENT (NAVOTAAS) INSTITUTE - MAIN,Navotas City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,92,92
PHILIPPINE WELDING TECHNOLOGY SKILLS & SERVICES CENTER INC.,Navotas City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,0,1,0,0,0,1,93,92
QUEZON CITY SKILLS AND LIVELIHOOD FOUNDATION INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Motorcycle/Small Engine Servicing NC II,FALSE,0,1,0,0,0,1,100,92
"UNIVERSITY OF BATANGAS, INC.",Batangas City,Batangas,Region IVA - CALABARZON,4A,Technical Drafting NC II,FALSE,0,1,0,0,0,1,95,91
"EMPEROR INTERNATIONAL TRAINING AND ASSESSMENT CENTER, INC.",Taytay,Rizal,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,90,90
D' BEAUTY TREND CENTER INSTITUTE INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Beauty Care (Nail Care) Services NC II,FALSE,0,1,0,0,0,1,92,90
ANGELITA V. DEL MUNDO FOUNDATION (AVM FOUNDATION) INC.,Pagsanjan,Laguna,Region IVA - CALABARZON,4A,Housekeeping NC II,FALSE,0,1,0,0,0,1,90,90
"AISTAC ALPHA INNOVATIVE SKILLS TRAINING AND ASSESSMENT CENTER, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,0,1,0,0,0,1,91,90
D.M. CONSUNJI TECHNICAL TRAINING CENTER INC.,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,91,90
ST. GABRIEL COLLEGE OF TECHNOLOGY AND ASSESSMENT CENTER INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Tourism Promotion Services NC II,FALSE,0,1,0,0,0,1,89,89
ROYAL BRITISH COLLEGE INC.,Lipa City,Batangas,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,89,89
"PROFES-SKILLS INSTITUTE TRAINING AND ASSESSMENT CENTER, INC.",Lucena City,Quezon,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,0,1,0,0,0,1,92,89
"ARTICULATED TRAINING AND DRIVING SCHOOL, INC.","Tondo I/II, City of Manila",City of Manila,National Capital Region (NCR),NCR,Driving (Passenger Bus/Straight Truck) NC III,FALSE,0,1,0,0,0,1,89,89
D.M. CONSUNJI TECHNICAL TRAINING CENTER INC.,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Heavy Equipment Operation (Rigid On-Highway Dump Truck) NC II,TRUE,0,1,0,0,0,1,92,89
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. - CAVITE",General Trias,Cavite,Region IVA - CALABARZON,4A,Front Office Services NC II,FALSE,0,1,0,0,0,1,91,88
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Trainers Methodology Level I,FALSE,0,1,0,0,0,1,88,88
COLLEGE OF SAINT AMATIEL INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Bartending NC II,FALSE,0,1,0,0,0,1,87,87
"C HEO TRAINING AND ASSESSMENT CENTER, INC.",San Jose,Batangas,Region IVA - CALABARZON,4A,Rigging NC I,TRUE,0,1,0,0,0,1,106,87
"LYCEUM OF THE PHILIPPINES UNIVERSITY - BATANGAS, INC.",Batangas City,Batangas,Region IVA - CALABARZON,4A,Tourism Promotion Services NC II,FALSE,0,1,0,0,0,1,87,87
MARIAN LEARNING CENTER AND SCIENCE HIGH SCHOOL,Batangas City,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,87,87
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Hilot (Wellness Massage) NC II,FALSE,0,1,0,0,0,1,97,87
EMMANUEL JOHN INSTITUTE OF SCIENCE AND TECHNOLOGY INC. ,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Animation NC II,FALSE,0,1,0,0,0,1,87,87
OUR LADY OF LOURDES COLLEGE OF NOVALICHES,Quezon City,Quezon City,National Capital Region (NCR),NCR,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,0,1,0,0,0,1,87,87
VALENZUELA CITY POLYTECHNIC COLLEGE,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,86,86
CALAYAN EDUCATIONAL FOUNDATION INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,88,86
ETHOMAX GOOD SERVANT MULTI-PURPOSE COOPERATIVE (EGOS - MPC),Sampaloc,Quezon,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Wheel Loader) NC II,TRUE,0,1,0,0,0,1,90,86
RIZAL PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER - BINANGONAN,Binangonan,Rizal,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,0,1,0,0,0,1,86,86
"LYCEUM OF ALABANG, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bartending NC II,FALSE,0,1,0,0,0,1,102,86
MOVERS INTERNATIONAL SCHOOL INC.,Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Cookery NC II,FALSE,0,1,0,0,0,1,86,86
"BOWLINE TRAINING AND ASSESSMENT CENTER, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Tourism Promotion Services NC II,FALSE,0,1,0,0,0,1,86,86
D' BEAUTY TREND CENTER INSTITUTE INC. (FORMERLY: D' BEAUTY TREND CENTER INC.),Makati City,PASMAK,National Capital Region (NCR),NCR,Beauty Care (Skin Care) Services NC II,FALSE,0,1,0,0,0,1,83,86
SAN ANTONIO SKILLS DEVELOPMENT CENTER INC.,City of Santa Rosa,Laguna,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,0,1,0,0,0,1,85,85
"CONCORDIA COLLEGE, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Health Care Services NC II,FALSE,0,1,0,0,0,1,85,85
VALENZUELA CITY POLYTECHNIC COLLEGE,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,85,85
QUEZON NATIONAL AGRICULTURAL SCHOOL,Pagbilao,Quezon,Region IVA - CALABARZON,4A,Driving NC II,FALSE,0,1,0,0,0,1,85,85
"AIM TECH CHRISTIAN COLLEGE, INC.",Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,85,85
"SAV1 SKILLS TRAINING AND DEVELOPMENT CENTER, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bookkeeping NC III,FALSE,0,1,0,0,0,1,133,85
REGIONAL TRAINING CENTER-CALABARZON,Batangas City,Batangas,Region IVA - CALABARZON,4A,Bookkeeping NC III,FALSE,0,1,0,0,0,1,446,84
CHAIR OF ST. PETER TECHNICAL INSTITUTE CORPORATION,City of Santa Rosa,Laguna,Region IVA - CALABARZON,4A,Front Office Services NC II,FALSE,0,1,0,0,0,1,84,84
"CSTC COLLEGE OF SCIENCES, TECHNOLOGY AND COMMUNICATIONS, INC.",Sariaya,Quezon,Region IVA - CALABARZON,4A,Front Office Services NC II,FALSE,0,1,0,0,0,1,92,84
VICTORY ELIJAH CHRISTIAN COLLEGE INC.,City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,0,1,0,0,0,1,107,84
MOVERS INTERNATIONAL SCHOOL INC.,Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bookkeeping NC III,FALSE,0,1,0,0,0,1,100,84
QUEZON CITY LINGKOD BAYAN SKILLS DEVELOPMENT CENTER,Quezon City,Quezon City,National Capital Region (NCR),NCR,Biomedical Equipment Servicing NC II,FALSE,0,1,0,0,0,1,95,84
TRIDENT-ASSESSMENT AND TECHNICAL TRAINING CENTER INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,83,83
TOUGH LIFT TRAINING AND ASSESSMENT CENTER INC.,Batangas City,Batangas,Region IVA - CALABARZON,4A,Rigging NC I,TRUE,0,1,0,0,0,1,84,83
VAN TECHNOLOGICAL AND SKILLS ACADEMY INC.,Lipa City,Batangas,Region IVA - CALABARZON,4A,Slaughtering Operations (Swine) NC II,FALSE,0,1,0,0,0,1,87,83
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Front Office Services NC II,FALSE,0,1,0,0,0,1,83,83
"DA'FAMERS TRAINING AND ASSESSMENT CENTER CORP.,","Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,83,83
"QTEK TRAINING AND ASSESSMENT CENTER, INC.",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Masonry NC II,TRUE,0,1,0,0,0,1,83,83
COLLEGE OF SAINT AMATIEL INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Barista NC II,FALSE,0,1,0,0,0,1,82,82
REGIONAL TRAINING CENTER-CALABARZON,Batangas City,Batangas,Region IVA - CALABARZON,4A,Gas Tungsten Arc Welding (GTAW) NC II,TRUE,0,1,0,0,0,1,94,82
"BROTHERS OF CHRIST OF BANNEUX, INC.",General Trias,Cavite,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,90,82
"ARTICULATED TRAINING AND DRIVING SCHOOL, INC.","Tondo I/II, City of Manila",City of Manila,National Capital Region (NCR),NCR,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,94,82
LEXUS ACADEMY TRAINING AND ASSESSMENT CENTER INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Cookery NC II,FALSE,0,1,0,0,0,1,82,82
TESDA PROVINCIAL TRAINING CENTER - PALIPARAN,City of Dasmariñas,Cavite,Region IVA - CALABARZON,4A,Dressmaking NC II,FALSE,0,1,0,0,0,1,81,81
TESDA PROVINCIAL TRAINING CENTER - PALIPARAN,City of Dasmariñas,Cavite,Region IVA - CALABARZON,4A,Electronic Products Assembly and Servicing NC II,FALSE,0,1,0,0,0,1,84,81
"ALPHA CENTAURI EDUCATIONAL SYSTEM, INC.",Lucena City,Quezon,Region IVA - CALABARZON,4A,Health Care Services NC II,FALSE,0,1,0,0,0,1,81,81
ST. RAPHAEL COLLEGE OF BUSINESS AND ARTS INC,Real,Quezon,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,81,81
"GLOBE MARITIME TRAINING CENTER-MANILA, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Automotive Servicing (Electrical Repair) NC II,FALSE,0,1,0,0,0,1,80,80
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. - CAVITE",General Trias,Cavite,Region IVA - CALABARZON,4A,Tourism Promotion Services NC II,FALSE,0,1,0,0,0,1,80,80
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Commercial Cooking NC III,FALSE,0,1,0,0,0,1,83,80
"KAFEI TAN TRAINING INSTITUTE, INC.",Lucena City,Quezon,Region IVA - CALABARZON,4A,Bartending NC II,FALSE,0,1,0,0,0,1,125,80
SEAMAN JOB STUDY CENTER INC.,Sariaya,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,86,80
EMMANUEL JOHN INSTITUTE OF SCIENCE AND TECHNOLOGY INC. ,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,0,1,0,0,0,1,80,80
MILESTONE TECHNICAL INSTITUTE INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Technical Drafting NC II,FALSE,0,1,0,0,0,1,86,80
DIVERSIFIED CORPORATION,Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Driving NC II,FALSE,0,1,0,0,0,1,79,79
HOSPITALITY INSTITUTE OF AMERICA-PHILIPPINES INC,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Cookery NC II,FALSE,0,1,0,0,0,1,79,79
"ASIAN ENTREPRENEURS TECHNOLOGICAL INSTITUTE, INC.",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Mobile Phones and Handheld Gadgets Servicing NC III,FALSE,0,1,0,0,0,1,79,79
"TRINITY POLYTECHNIC COLLEGE, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,0,1,0,0,0,1,79,79
"BATANGAS EASTERN COLLEGES, INC.",San Juan,Batangas,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,1,1,28,0,1,54,78
PHILIPPINE NATIONAL DRIVING ACADEMY INC.,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Driving (Passenger Bus/Straight Truck) NC III,FALSE,0,1,0,0,0,1,81,78
Philtech Institute of Arts and Technology Inc.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Mechanical Drafting NC I,FALSE,0,1,0,0,0,1,127,78
ST. CATHERINE INSTITUTE OF TECHNOLOGY INC. ,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,0,1,0,0,0,1,78,78
"INTEGRATED MOVEMENT ACADEMY, INC.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Cookery NC II,FALSE,0,1,0,0,0,1,78,78
"INTERNATIONAL TRAINING FOR ENHANCEMENT AND ASSESSMENT CENTER, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,0,1,0,0,0,1,83,78
TESDA WOMEN'S CENTER,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Plumbing NC II,TRUE,0,1,0,0,0,1,79,78
SWISS IT ACADEMY INC.,Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Visual Graphic Design NC III,FALSE,0,1,0,0,0,1,78,78
STO. NIÑO DE NOVALICHES SCHOOL INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Motorcycle/Small Engine Servicing NC II,FALSE,0,1,0,0,0,1,77,77
PSAA INTERNATIONAL ACADEMY INC.,"Pandacan, City of Manila",City of Manila,National Capital Region (NCR),NCR,Front Office Services NC II,FALSE,0,1,0,0,0,1,77,77
INFINITY VOCATIONAL TRAINING SCHOOL INC.,General Trias,Cavite,Region IVA - CALABARZON,4A,Slaughtering Operations (Swine) NC II,FALSE,0,1,0,0,0,1,77,77
TRIMEX COLLEGES INC.,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Electronic Products Assembly and Servicing NC II,FALSE,0,1,0,0,0,1,78,77
ETHOMAX GOOD SERVANT MULTI-PURPOSE COOPERATIVE (EGOS - MPC),Sampaloc,Quezon,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,81,77
"ST. JUDEL INSTITUTE OF TECHNOLOGY (SJIT), INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Bookkeeping NC III,FALSE,0,1,0,0,0,1,82,77
MAKATI DEVELOPMENT CORPORATION,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Masonry NC II,TRUE,0,1,0,0,0,1,77,77
"MIESHA TRAINING ACADEMY AND ASSESSMENT CENTER, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Gas Metal Arc Welding (GMAW) NC I,TRUE,0,1,0,0,0,1,79,77
