Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
"ASIAN ENTREPRENEURS TECHNOLOGICAL INSTITUTE, INC. ",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,2,197,296,0,0,0
Top Choice Training Institute and Assessment Center,Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Driving (Passenger Bus/Straight Truck) NC III,FALSE,1,0,3,235,295,0,0,0
Skillful Training and Assessment Center Inc.,Lemery,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,3,267,295,0,0,0
ST. THOMAS AQUINAS INSTITUTE OF CALOOCAN INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,1,379,294,0,0,0
"ARAYA SKILLS DEVELOPMENT INSTITUTE, CORP.",San Juan City,PAMAMARISAN,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,0,2,405,294,0,0,0
PSAA INTERNATIONAL ACADEMY INC.,"Pandacan, City of Manila",City of Manila,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,1,5,380,293,1,404,404
TRIDENT-ASSESSMENT AND TECHNICAL TRAINING CENTER INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,1,2,312,293,1,111,111
"MANILA CULINARY & HOSPITALITY ACADEMY, INC.",San Juan City,PAMAMARISAN,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,3,252,289,0,0,0
TESDA-NAVOTAAS TRAINING INSTITUTE,Navotas City,CAMANAVA,National Capital Region (NCR),NCR,RAC Servicing (DomRAC) NC II,FALSE,1,1,3,103,288,1,202,197
REGIONAL TRAINING CENTER - NCR,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,PV Systems Installation NC II,FALSE,1,1,2,199,288,1,124,105
"MILESTONE TECHNOLOGICAL INSTITUTE, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,3,353,287,0,0,0
"SOUTHERN LUZON TECHNOLOGICAL COLLEGE FOUNDATION, INC.",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Programming (Java) NC III,FALSE,1,0,2,133,287,0,0,0
STO. NIÑO DE NOVALICHES SCHOOL INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Automotive Servicing NC I,FALSE,1,1,2,250,286,1,109,109
EXCELSIOR CENTER FOR EXCELLENCE INC.,Malvar,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,5,264,286,0,0,0
CABALEN TRAINING INSTITUTE CORP.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,3,302,285,1,169,169
PHILIPPINE SCHOOL FOR TECHNOLOGY DEVELOPMENT AND INNOVATION INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,1,1,202,285,1,66,66
PHILIPPINE INSTITUTE OF MEDICAL TRAINING AND DEVELOPMENT INC.,Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Caregiving (Elderly) NC II,FALSE,1,1,3,315,283,1,311,303
